substation,x,y,index_right
25 STATION 25,-8783434.301,5303964.159,420
21 MAIN,-8772323.044,5306585.513,420
45 STATION 45,-8780761.989,5303142.194,420
155 ROBERTS,-8773653.386,5291672.075,420
212 HARBOR FRONT,-8777356.088,5283436.094,420
207 SLADE AVE,-8770119.665,5286195.339,420
22 KENMORE,-8775425.446,5305562.315,420
161 SHORT STREET,-8782197.32,5303851.19,420
41 STATION 41,-8779293.291,5292893.326,420
24 KENMORE,-8780589.226,5305647.939,420
49 BEST,-8779374.328,5297346.595,420
63 HIGHLAND,-8776991.491,5308042.722,420
26 STATION 26,-8777053.933,5303965.961,420
121 CLINTON ST,-8768734.441,5291539.203,420
Ohio Childs (MITS),-8779420.462,5290771.237,420
56 WILLOWDALE & BARTON,-8781670.955,5309442.094,420
23 KENMORE,-8777712.433,5305637.756,420
28 STATION 28,-8773529.252,5301753.818,420
68 ELMWOOD,-8780582.083,5298553.171,420
42 OHIO,-8779443.506,5290736.547,420
162 STATION 162,-8776992.536,5301204.077,420
46 STATION 46,-8774592.915,5286706.811,420
142 LEHIGH AVE,-8776313.759,5284718.262,420
11 STATION 11,-8775147.192,5283888.323,420
38 SPRING,-8778474.749,5295328.143,420
55 ELECTRIC AVE,-8775212.073,5282414.915,420
58 HARLEM RD,-8770068.659,5306638.932,420
47 STATION 47,-8786367.449,5307700.659,420
160 SUMMER ST.,-8780369.915,5297447.548,420
203 STATION ,-8781226.472,5295174.268,420
48 GELSTON,-8782958.92,5299325.464,420
32 BAILEY,-8773558.837,5300104.822,420
139 MARTIN RD,-8773151.361,5284005.433,420
27 JEWETT AVE,-8776491.704,5301977.674,420
35 WALDEN,-8775871.328,5297288.206,420
39 WILLIAM,-8776396.128,5294541.13,420
40 WILLIAM STA,-8773740.416,5294496.193,420
33 STATION 33,-8782111.022,5297554.993,420
PERRY ST,-8777288.226,5292306.748,420
29 POTOMAC,-8781646.243,5300381.141,420
52 HERTEL,-8780509.885,5304067.292,420
34 BEST ST.,-8777758.902,5297316.813,420
43 SENECA ST,-8773981.301,5291001.063,420
127 DELAWARE ROAD,-8779274.116,5308359.039,420
36 SUMNER PL,-8773228.098,5297053.417,420
37 HUDSON AVE,-8781348.909,5296445.093,420
208 STATION 208,-8782936.517,5306783.232,420
53 BAILEY,-8773533.56,5303187.974,420
30 SPILLMAN,-8778145.51,5300082.641,420
44 SOUTH PARK,-8774578.674,5288641.674,420
205 ERIE DRIVE,-8781480.575,5294483.584,420
51 ELK ST,-8775426.31,5291595.783,420
31 STATION,-8776481.049,5300134.23,420
2738 LARKINVILLE,-8777228.999,5292244.358,420
